profile_mode,grid_size,render_grid,workers,warmup_runs,timed_repeats,sample_count,timing_scope,elapsed_seconds,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_median,elapsed_seconds_iqr,elapsed_seconds_best,throughput_mpoints_per_s,throughput_mpoints_per_s_mean,throughput_mpoints_per_s_std,throughput_mpoints_per_s_median,throughput_mpoints_per_s_iqr,throughput_mpoints_per_s_best,avg_cpu_percent,peak_cpu_percent,peak_rss_gib,convergence_fraction,mean_iterations,root0_fraction,root1_fraction,root2_fraction
worker_sweep,4096.0,1024.0,1.0,1,3,3,full_compute_plus_resource_monitor,22.22245728100006,22.22245728100006,0.8257176617132488,22.440747890999774,0.8037857700001041,21.3095262060001,0.7556721294335804,0.7556721294335804,0.028480120382974303,0.7476228547056925,0.0276138396333242,0.7873106064308486,5.222076297686054,18.766666666666666,3.110027313232422,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514
worker_sweep,4096.0,1024.0,8.0,1,3,3,full_compute_plus_resource_monitor,4.094356529999914,4.094356529999914,0.6136221190652358,4.446274939999967,0.5325853729998471,3.38581195200004,4.165933651655345,4.165933651655345,0.6834868535504073,3.7733195149646157,0.5929122057515608,4.9551529257522695,12.180555555555555,14.800000000000002,3.3290125528971353,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514
worker_sweep,4096.0,1024.0,16.0,1,3,3,full_compute_plus_resource_monitor,3.7248140626667614,3.7248140626667614,0.28138626059045063,3.6545401939997646,0.27472607300001073,3.4852249240002493,4.520951210961498,4.520951210961498,0.3333112590703142,4.590787105733795,0.3277782882895881,4.813811551864938,18.146825396825395,23.53333333333333,4.040842692057292,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514
worker_sweep,4096.0,1024.0,32.0,1,3,3,full_compute_plus_resource_monitor,3.964450720999745,3.964450720999745,0.17347806249735673,3.956060757999694,0.17332583350003006,3.7953198689997407,4.237309752176177,4.237309752176177,0.18500721984941448,4.240889366037713,0.18498124545440042,4.42050119069981,33.349999999999994,40.699999999999996,5.069806416829427,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514
worker_sweep,4096.0,1024.0,64.0,1,3,3,full_compute_plus_resource_monitor,3.0844587306664835,3.0844587306664835,0.20142909105356474,3.184241701999781,0.1819510860000264,2.8526161589998082,5.455375063693765,5.455375063693765,0.36984560733714505,5.268826166513522,0.33269416133621554,5.881343673620103,52.69333333333333,72.03333333333333,7.144372304280599,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514
worker_sweep,4096.0,1024.0,88.0,1,3,3,full_compute_plus_resource_monitor,2.8164336406666735,2.8164336406666735,0.16114632897533857,2.8958522460002314,0.14573144199994204,2.6309928959999525,5.970363043142278,5.970363043142278,0.35293845791601425,5.793533155281936,0.3179841948047235,6.376762181877173,63.81944444444445,88.56666666666666,8.886144002278646,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514
grid_sweep,1024.0,256.0,64.0,1,3,3,full_compute_plus_resource_monitor,0.8138414750001175,0.8138414750001175,0.0026282005922005215,0.8129657509998651,0.0025163999998767395,0.811762937000367,1.2884367682610358,1.2884367682610358,0.0041548946883562445,1.289815713282335,0.0039795769677826165,1.291726872718169,5.866666666666667,5.866666666666667,0.7808952331542969,0.9999980926513672,6.814431790221768,0.3419170379638672,0.32904052734375,0.32904052734375
grid_sweep,2048.0,512.0,64.0,1,3,3,full_compute_plus_resource_monitor,0.8329282203333909,0.8329282203333909,0.05100179623349037,0.8420197929999631,0.05039038299992171,0.777992051000183,5.048447799612906,5.048447799612906,0.3145716221572666,4.981241575161148,0.30914041795413727,5.391191329792924,43.06666666666666,43.06666666666666,1.0082244873046875,1.0,6.814671516418457,0.3419075012207031,0.32904624938964844,0.32904624938964844
grid_sweep,4096.0,1024.0,64.0,1,3,3,full_compute_plus_resource_monitor,2.988744513666461,2.988744513666461,0.17780157176753061,2.9185051229997043,0.1670724989999144,2.856791709999925,5.626361235334344,5.626361235334344,0.32519091726328136,5.748564862122293,0.30748794752061137,5.872747369460982,50.385,77.2,7.204243977864583,0.9999997615814209,6.814501956582536,0.34190618991851807,0.3290467858314514,0.3290467858314514
grid_sweep,8192.0,2048.0,64.0,1,3,3,full_compute_plus_resource_monitor,10.406154203666878,10.406154203666878,0.6338750545918617,10.125353777000328,0.5853724670000702,9.961181950000082,6.464448826911249,6.464448826911249,0.38146957019182215,6.627804368913739,0.3542672129271036,6.737038268837108,64.49222222222222,80.50000000000001,18.36405309041341,0.9999996721744537,6.814491986018773,0.3418819308280945,0.3290588706731796,0.3290588706731796
