formula,h,approximation,abs_error
Forward O(h),0.1,4189.7127154894115,1787.3941140310653
Forward O(h),0.01,2532.0485183122796,129.72991685393345
Forward O(h),0.001,2414.9167887657086,12.598187307362423
Forward O(h),0.0001,2403.574741549619,1.256140091272755
Forward O(h),1e-05,2402.443897153716,0.12529569536991403
Forward O(h),1e-06,2402.1034050747403,0.21519638360587123
Forward O(h),1e-07,2430.056156299543,27.737554841196925
Forward O(h),1e-08,2131.6282072803006,270.6903941780456
Forward O(h),1e-09,-14210.854715202002,16613.173316660348
Forward O(h),1e-10,1421085.4715202001,1418683.1529187418
Forward O(h),1e-11,-142108547.15202004,142110949.4706215
Forward O(h),1e-12,14210854715.202005,14210852312.883404
Backward O(h),0.1,1468.5998515195704,933.7187499387758
Backward O(h),0.01,2280.6952653981225,121.62333606022366
Backward O(h),0.001,2389.8014380137056,12.517163444640573
Backward O(h),0.0001,2401.0632515114594,1.2553499468867813
Backward O(h),1e-05,2402.194070327823,0.1245311305233372
Backward O(h),1e-06,2402.146037638886,0.17256381946026522
Backward O(h),1e-07,2408.73987422674,6.421272768393919
Backward O(h),1e-08,1705.3025658242402,697.016035634106
Backward O(h),1e-09,113686.83772161602,111284.51912015767
Backward O(h),1e-10,-2842170.9430404003,2844573.2616418586
Backward O(h),1e-11,0.0,2402.318601458346
Backward O(h),1e-12,85265128291.21204,85265125888.89343
Central O(h^2),0.1,2460.877357440935,58.55875598258899
Central O(h^2),0.01,2402.8974098212075,0.5788083628613094
Central O(h^2),0.001,2402.324388910415,0.005787452068943821
Central O(h^2),0.0001,2402.3186696808807,6.822253453719895e-05
Central O(h^2),1e-05,2402.3188416322223,0.00024017387613639585
Central O(h^2),1e-06,2402.4728872973355,0.15428583898938086
Central O(h^2),1e-07,2391.6868485684977,10.631752889848485
Central O(h^2),1e-08,2273.73675443232,128.58184702602603
Central O(h^2),1e-09,14210.854715202002,11808.536113743656
Central O(h^2),1e-10,1421085.4715202001,1418683.1529187418
Central O(h^2),1e-11,142108547.15202004,142106144.83341858
Central O(h^2),1e-12,14210854715.202005,14210852312.883404
Central O(h^4),0.1,2399.4975364303396,2.8210650280066147
Central O(h^4),0.01,2402.3183294820424,0.0002719763037930534
Central O(h^4),0.001,2402.3186014652256,6.879417924210429e-09
Central O(h^4),0.0001,2402.3186137256403,1.2267294096091064e-05
Central O(h^4),1e-05,2402.318735050812,0.00013359246577238082
Central O(h^4),1e-06,2402.5119671478024,0.19336568945618637
Central O(h^4),1e-07,2382.8050643714964,19.513537086849738
Central O(h^4),1e-08,2220.446049250313,181.87255220803308
Central O(h^4),1e-09,-10658.141036401503,13060.459637859849
Central O(h^4),1e-10,177635.68394002502,175233.36533856668
Central O(h^4),1e-11,-195399252.33402756,195401654.65262902
Central O(h^4),1e-12,-12434497875.801754,12434500278.120356
