x,N,hits,p_hat,theory_probability,pi_est,abs_error,theory_std
1,1000000,636855,0.6368550000,0.6366197724,3.1404322805,0.0011603731,0.0023735067
2,1000000,837719,0.8377190000,0.8372484206,3.1398278984,0.0017647551,0.0013851133
3,1000000,893355,0.8933550000,0.8928797888,3.1399215152,0.0016711384,0.0010881508
4,1000000,920180,0.9201800000,0.9200000667,3.1409783422,0.0006143114,0.0009264047
5,1000000,936329,0.9363290000,0.9361232232,3.1409022265,0.0006904270,0.0008206441
6,1000000,946894,0.9468940000,0.9468245113,3.1413621049,0.0002305487,0.0007445106
7,1000000,954163,0.9541630000,0.9544493465,3.1425354528,0.0009427992,0.0006863106
8,1000000,960301,0.9603010000,0.9601592114,3.1411287970,0.0004638566,0.0006399444
9,1000000,964768,0.9647680000,0.9645957128,3.1410316313,0.0005610222,0.0006018734
10,1000000,968201,0.9682010000,0.9681424056,3.1414025281,0.0001901255,0.0005698844
11,1000000,971235,0.9712350000,0.9710427588,3.1409708230,0.0006218306,0.0005425119
12,1000000,973523,0.9735230000,0.9734587935,3.1413854569,0.0002071967,0.0005187420
13,1000000,975247,0.9752470000,0.9755025290,3.1424157969,0.0008231433,0.0004978475
14,1000000,977459,0.9774590000,0.9772538979,3.1409334471,0.0006592065,0.0004792914
