model,observable,min_N,points,slope,nu,nu_ci_low,nu_ci_high,nu_bootstrap_sd,prefactor
3d_lattice_traditional,Re2,32,8,0.9987726390173067,0.49938631950865336,0.4975589796896012,0.501291154856383,0.0008556061791489054,1.004311440655499
3d_lattice_traditional,Re2,64,7,0.9975941809732773,0.4987970904866387,0.496834745930324,0.5011562893313762,0.0010619368389168558,1.012548704174307
3d_lattice_traditional,Re2,128,6,0.9958029617868055,0.49790148089340275,0.4957220655433527,0.5001378042822787,0.0010475589605500825,1.0256230345617607
3d_lattice_traditional,Re2,256,5,0.9944647477474312,0.4972323738737156,0.4945517844412508,0.5001989628225153,0.001460397698252139,1.0358211000787974
3d_lattice_traditional,Rg2,32,8,0.99510452350799,0.497552261753995,0.4964244995923042,0.4988182804574402,0.000695916741883486,0.17266762089944393
3d_lattice_traditional,Rg2,64,7,0.9967189159936246,0.4983594579968123,0.49757919280907226,0.4992381546187573,0.0004806922020719433,0.17074622058833389
3d_lattice_traditional,Rg2,128,6,0.9971297723574356,0.4985648861787178,0.49745008350200004,0.4999325497991979,0.0007203957681619445,0.1702444927935792
3d_lattice_traditional,Rg2,256,5,0.9967500149213948,0.4983750074606974,0.49657509545388184,0.5004909882646774,0.001097278858417224,0.1707231707009683
3d_self_avoiding,Re2,32,6,1.1744995348385885,0.5872497674192942,0.5677305998218455,0.6054556400650837,0.008091008621743652,1.178018275049521
3d_self_avoiding,Re2,64,5,1.1697480604296597,0.5848740302148299,0.5669226670018058,0.5990070804851473,0.013073636768386816,1.2121274208640995
3d_self_avoiding,Re2,128,4,1.1400273388110258,0.5700136694055129,0.544455419422876,0.5912288107815105,0.008652345649688344,1.4590485196388083
3d_self_avoiding,Re2,256,3,1.1585138750016626,0.5792569375008313,0.5672850642201535,0.5912288107815122,0.00856838521274535,1.2945824537613424
3d_self_avoiding,Rg2,32,6,1.1855777296971357,0.5927888648485679,0.5808041867828331,0.6017174653446564,0.005449842954009167,0.17785291929812175
3d_self_avoiding,Rg2,64,5,1.1882148470062983,0.5941074235031492,0.5780322353684546,0.6064758809058238,0.010111757009869765,0.175057592935608
3d_self_avoiding,Rg2,128,4,1.1669963050801089,0.5834981525400544,0.5483206263818664,0.6077438443550425,0.012629497330268838,0.19983323123381008
3d_self_avoiding,Rg2,256,3,1.1940919339666338,0.5970459669833169,0.5863480896115905,0.6077438443550448,0.007700411000866938,0.1677024748583294
