steps,walkers,ever_return_fraction,origin_fraction_at_step
10,30000,0.2506,0.020433333333333335
20,30000,0.2755666666666667,0.0077
50,30000,0.2992666666666667,0.0017666666666666666
100,30000,0.31133333333333335,0.0006
200,30000,0.32033333333333336,0.00013333333333333334
300,30000,0.32426666666666665,0.00016666666666666666
400,30000,0.32663333333333333,0.0001
500,30000,0.3281,3.3333333333333335e-05
600,30000,0.32926666666666665,6.666666666666667e-05
700,30000,0.32993333333333336,0.0001
800,30000,0.3305666666666667,3.3333333333333335e-05
900,30000,0.3313333333333333,3.3333333333333335e-05
1000,30000,0.3318333333333333,3.3333333333333335e-05
1100,30000,0.3321,6.666666666666667e-05
1200,30000,0.3325,0.0
1300,30000,0.3327,3.3333333333333335e-05
1400,30000,0.33293333333333336,3.3333333333333335e-05
1500,30000,0.3331,0.0
1600,30000,0.3333333333333333,0.0
1700,30000,0.3335666666666667,0.0
1800,30000,0.33376666666666666,0.0
1900,30000,0.3339666666666667,0.0
2000,30000,0.3340666666666667,0.0
2100,30000,0.3342,0.0
2200,30000,0.3343333333333333,0.0
2300,30000,0.3344666666666667,0.0
2400,30000,0.3345,0.0
2500,30000,0.3348,0.0
2600,30000,0.3349,3.3333333333333335e-05
2700,30000,0.3349,0.0
2800,30000,0.33493333333333336,0.0
2900,30000,0.335,3.3333333333333335e-05
3000,30000,0.3350666666666667,3.3333333333333335e-05
3100,30000,0.33516666666666667,0.0
3200,30000,0.33526666666666666,0.0
3300,30000,0.3353333333333333,0.0
3400,30000,0.3353333333333333,0.0
3500,30000,0.33536666666666665,0.0
3600,30000,0.3354333333333333,0.0
3700,30000,0.3354333333333333,0.0
3800,30000,0.3356,0.0
3900,30000,0.33566666666666667,0.0
4000,30000,0.3357,0.0
4100,30000,0.3358333333333333,0.0
4200,30000,0.33586666666666665,0.0
4300,30000,0.3359333333333333,3.3333333333333335e-05
4400,30000,0.3359666666666667,0.0
4500,30000,0.336,0.0
4600,30000,0.33603333333333335,0.0
4700,30000,0.3360666666666667,0.0
4800,30000,0.3361,0.0
4900,30000,0.33613333333333334,0.0
5000,30000,0.33616666666666667,0.0
