init,T,mean_E,mean_M,mean_abs_M,acceptance,exact_E
up,0.5,-19.793333333333333,10.231666666666667,19.505,0.010833333333333332,-19.280551601516336
up,1.0,-14.823333333333334,0.7416666666666667,9.438333333333333,0.25929166666666664,-15.231883119115297
up,1.5,-11.483333333333333,-1.4383333333333332,7.398333333333333,0.419375,-11.655658906958204
up,2.0,-9.33,0.06166666666666667,6.0616666666666665,0.5307916666666667,-9.242343145200195
up,2.5,-7.65,-0.023333333333333334,5.21,0.6217916666666666,-7.598979245104498
up,3.0,-6.503333333333333,-0.425,5.201666666666667,0.6718333333333334,-6.430254750632686
up,3.5,-5.486666666666666,-0.023333333333333334,4.69,0.7234166666666667,-5.563709806514048
up,4.0,-4.65,-0.3416666666666667,4.625,0.7552916666666666,-4.898373248074183
up,4.5,-4.426666666666667,0.095,4.531666666666666,0.7809583333333333,-4.372701673742426
up,5.0,-4.073333333333333,-0.475,4.351666666666667,0.8047083333333334,-3.94750640449808
random,0.5,-19.983333333333334,19.986666666666668,19.986666666666668,0.0007500000000000001,-19.280551601516336
random,1.0,-15.286666666666667,2.28,10.12,0.2315833333333333,-15.231883119115297
random,1.5,-11.766666666666667,0.825,6.878333333333333,0.4159166666666667,-11.655658906958204
random,2.0,-9.2,0.23166666666666666,5.645,0.5449583333333333,-9.242343145200195
random,2.5,-7.69,0.34,5.406666666666666,0.6176666666666667,-7.598979245104498
random,3.0,-6.546666666666667,0.3383333333333333,5.161666666666667,0.6747500000000001,-6.430254750632686
random,3.5,-5.48,-0.09833333333333333,4.7283333333333335,0.7266666666666667,-5.563709806514048
random,4.0,-4.903333333333333,-0.5233333333333333,4.25,0.7536666666666666,-4.898373248074183
random,4.5,-4.3933333333333335,-0.045,4.278333333333333,0.781125,-4.372701673742426
random,5.0,-3.6566666666666667,0.19833333333333333,4.235,0.8066666666666665,-3.94750640449808
